FlexPDE Version 7.22/W64  16:05:58 Nov 24 2023
(Times listed are wall-clock times, not charged CPU).

START C:\Users\student\Documents\254883\my file 2.1.pde  11:54:55 3/6/24
 +00:00:00| Mesh Generation Complete
 +00:00:00| Mesh dump written to C:\Users\student\Documents\254883\my file 2.1_output/my file 2.1_initialmesh.xfr
Using 1 Threads  Cubic speed Curvature 
 +00:00:02| Step 39 Time= 1.652e-4 Dt= 1.690e-5 Nodes=222 Cells=395 DOF=1849 RMS ERR= 0.001191 MAX ERR= 0.002211 TIME ERR= 0.003275 Orthomin/ILU=(28) MEM(KiB)=11732 
 +00:00:02| Step 40 Time= 1.802e-4 Dt= 1.494e-5 Nodes=224 Cells=399 DOF=1867 RMS ERR= 0.001004 MAX ERR= 0.001770 TIME ERR= 0.001721 Orthomin/ILU=(30) MEM(KiB)=11732 
 +00:00:02| Step 41 Time= 1.951e-4 Dt= 1.494e-5 Nodes=224 Cells=399 DOF=1867 RMS ERR= 0.001000 MAX ERR= 0.001791 TIME ERR= 0.002088 Orthomin/ILU=(33) MEM(KiB)=11732 
 +00:00:02| Step 42 Time= 2.100e-4 Dt= 1.494e-5 Nodes=224 Cells=399 DOF=1867 RMS ERR= 9.851e-4 MAX ERR= 0.001770 TIME ERR= 0.001051 Orthomin/ILU=(30) MEM(KiB)=11732 
 +00:00:02| Step 43 Time= 2.250e-4 Dt= 1.494e-5 Nodes=224 Cells=399 DOF=1867 RMS ERR= 9.722e-4 MAX ERR= 0.001750 TIME ERR= 1.835e-4 Orthomin/ILU=(31) MEM(KiB)=11732 
 +00:00:02| Step 44 Time= 2.437e-4 Dt= 1.868e-5 Nodes=223 Cells=397 DOF=1858 RMS ERR= 9.590e-4 MAX ERR= 0.001731 TIME ERR= 4.791e-5 Orthomin/ILU=(31) MEM(KiB)=11738 
 +00:00:02| Step 45 Time= 2.670e-4 Dt= 2.335e-5 Nodes=222 Cells=395 DOF=1849 RMS ERR= 9.443e-4 MAX ERR= 0.001709 TIME ERR= 4.897e-5 Orthomin/ILU=(30) MEM(KiB)=11744 
 +00:00:02| Step 46 Time= 2.962e-4 Dt= 2.918e-5 Nodes=222 Cells=395 DOF=1849 RMS ERR= 9.273e-4 MAX ERR= 0.001685 TIME ERR= 7.097e-5 Orthomin/ILU=(30) MEM(KiB)=11744 
 +00:00:02| Step 47 Time= 3.327e-4 Dt= 3.648e-5 Nodes=222 Cells=395 DOF=1849 RMS ERR= 9.088e-4 MAX ERR= 0.001657 TIME ERR= 1.023e-4 Orthomin/ILU=(29) MEM(KiB)=11744 
 +00:00:02| Step 48 Time= 3.783e-4 Dt= 4.560e-5 Nodes=222 Cells=395 DOF=1849 RMS ERR= 8.891e-4 MAX ERR= 0.001626 TIME ERR= 1.431e-4 Orthomin/ILU=(26) MEM(KiB)=11744 
 +00:00:02| Step 49 Time= 4.353e-4 Dt= 5.700e-5 Nodes=221 Cells=393 DOF=1840 RMS ERR= 8.689e-4 MAX ERR= 0.001593 TIME ERR= 1.931e-4 Orthomin/ILU=(25) MEM(KiB)=11744 
 +00:00:02| Step 50 Time= 5.065e-4 Dt= 7.124e-5 Nodes=221 Cells=393 DOF=1840 RMS ERR= 8.475e-4 MAX ERR= 0.001557 TIME ERR= 2.505e-4 Orthomin/ILU=(25) MEM(KiB)=11744 
 +00:00:02| Step 51 Time= 5.956e-4 Dt= 8.906e-5 Nodes=220 Cells=391 DOF=1831 RMS ERR= 8.262e-4 MAX ERR= 0.001521 TIME ERR= 3.131e-4 Orthomin/ILU=(24) MEM(KiB)=11745 
 +00:00:02| Step 52 Time= 7.069e-4 Dt= 1.113e-4 Nodes=220 Cells=391 DOF=1831 RMS ERR= 8.041e-4 MAX ERR= 0.001483 TIME ERR= 3.773e-4 Orthomin/ILU=(24) MEM(KiB)=11745 
 +00:00:02| Step 53 Time= 8.460e-4 Dt= 1.391e-4 Nodes=219 Cells=389 DOF=1822 RMS ERR= 7.823e-4 MAX ERR= 0.001445 TIME ERR= 4.403e-4 Orthomin/ILU=(23) MEM(KiB)=11746 
 +00:00:02| Step 54 Time= 0.001020 Dt= 1.739e-4 Nodes=219 Cells=389 DOF=1822 RMS ERR= 7.601e-4 MAX ERR= 0.001406 TIME ERR= 4.990e-4 Orthomin/ILU=(22) MEM(KiB)=11746 
 +00:00:02| Step 55 Time= 0.001237 Dt= 2.174e-4 Nodes=219 Cells=389 DOF=1822 RMS ERR= 7.381e-4 MAX ERR= 0.001368 TIME ERR= 5.519e-4 Orthomin/ILU=(22) MEM(KiB)=11746 
 +00:00:02| Step 56 Time= 0.001509 Dt= 2.718e-4 Nodes=219 Cells=389 DOF=1822 RMS ERR= 7.165e-4 MAX ERR= 0.001330 TIME ERR= 5.983e-4 Orthomin/ILU=(22) MEM(KiB)=11746 
 +00:00:02| Step 57 Time= 0.001849 Dt= 3.397e-4 Nodes=219 Cells=389 DOF=1822 RMS ERR= 6.954e-4 MAX ERR= 0.001293 TIME ERR= 6.380e-4 Orthomin/ILU=(22) MEM(KiB)=11746 
 +00:00:02| Step 58 Time= 0.002274 Dt= 4.246e-4 Nodes=219 Cells=389 DOF=1822 RMS ERR= 6.749e-4 MAX ERR= 0.001257 TIME ERR= 6.712e-4 Orthomin/ILU=(22) MEM(KiB)=11746 
 +00:00:02| Step 59 Time= 0.002804 Dt= 5.308e-4 Nodes=219 Cells=389 DOF=1822 RMS ERR= 6.552e-4 MAX ERR= 0.001223 TIME ERR= 6.987e-4 Orthomin/ILU=(22) MEM(KiB)=11746 
